All of Me | John Legend
Thinking Out Loud | Ed Sheeran
A Thousand Years | Christina Perri
Hey, Soul Sister | Train
I'm Yours | Jason Mraz
Stay With Me | Sam Smith
Bleeding Love | Leona Lewis
Thinkin Bout You | Frank Ocean
Better Together | Jack Johnson
Yellow | Coldplay
Chasing Cars | Snow Patrol
You're Beautiful | James Blunt
Ho Hey | The Lumineers
Say You Won't Let Go | James Arthur
Iris | Goo Goo Dolls
Electric Love | BØRNS
Love Me Like You Do | Ellie Goulding
Mirrors | Justin Timberlake
Riptide | Vance Joy
Let Her Go | Passenger
The Only Exception | Paramore
Adore You | Harry Styles
Tennessee Whiskey | Chris Stapleton
golden hour | JVKE
Best Part | Daniel Caesar
Bubbly | Colbie Caillat
All About That Bass | Meghan Trainor
Gravity | John Mayer
Speechless | Dan + Shay
Kiss Me | Sixpence None the Richer
